title,abstract,doi
Evaluation Of Terrain Effects In Aem Surveys Using The Boundary Element Method,"In mountainous areas, electromagnetic terrain effects are readily observed in the course of VLF (14–20 kHz) measurements made on the surface and constitute a serious source of geological noise that affects the collected data. One may, therefore, inquire whether similar effects will be observed during the course of conventional helicopter‐towed electromagnetic (HEM) surveys as the frequency of the newer systems is increased beyond the lower regions of the audio range. To answer the question, we have evaluated the terrain effects that would be observed with a conventional HEM system in a number of simple cases. The operating frequency chosen for most of the numerical simulations was 8 kHz, while the topographic features investigated were taken to be two‐dimensional. The calculations were done using the boundary element method of solving the appropriate integral equations. Accuracy of the numerical solutions was shown to vary from 1 percent for a half space to 10 percent for a shallow valley where the verification was done on a laboratory scale model. For the models investigated, the amplitude of the computed secondary fields shows a distinct correlation with the overflown topography. Surprisingly, however, the phase of the secondary field remains invariant and so may be reliably used to compute the resistivity of the terrain below the aircraft.",10.1190/1.1443240
Direct Fourier Migration For Vertical Velocity Variations,"The Stolt f‐x migration algorithm is a direct (i.e. nonrecursive) Fourier‐domain technique based on a change of variables, or equivalently a mapping, that converts the unmigrated spectrum to the migrated spectrum. The algorithm is simple and efficient but limited to constant velocity. A v(z) f‐k migration method, capable of very high accuracy for vertical velocity variations, can be formulated as a nonstationary filter that avoids the change of variables. The result is a direct Fourier‐domain process that, for each wavenumber, applies a nonstationary migration filter to a vector of input frequency samples to create a vector of output frequency samples. The filter matrix is analytically specified in the mixed domain of input frequency and migrated time. It can be moved to the full‐Fourier domain of input frequency and output frequency by a fast Fourier transform. When applied for constant velocity, the v(z) f‐k algorithm is slower than the Stolt method but without the usual artifacts related to complex‐valued frequency‐domain interpolation. Vertical velocity variations, through an rms‐velocity (straight‐ray) assumption, are handled by the v(z) f‐k method with no additional cost. Greater accuracy at slight additional expense is obtained by extending the method to a WKBJ phase‐shift integral. This has the same accuracy as recursive phase shift and is similar in cost. For constant velocity, the full‐Fourier domain migration filter is a discrete approximation to a Dirac delta function whose singularity tracks along a hyperbola determined by the migration velocity. For variable velocity, the migration filter has significant energy between hyperbolic trajectories determined by the minimum and maximum instantaneous velocities. The full‐Fourier domain offers interesting conceptual parallels to Stolt's algorithm. However, unless a more efficient method of calculating the Fourier filter matrix can be found, the mixed‐domain method will be faster. The mixed‐domain nonstationary filter moves the input data from the Fourier domain to the migrated time domain as it migrates. It is faster because the migration filter is known analytically in the mixed domain.",10.1190/1.1487096
Planning Of Urban Underground Infrastructure Using A Broadband Seismic Landstreamer — Tomography Results And Uncertainty Quantifications From A Case Study In Southwestern Sweden,"We have developed a multicomponent broadband seismic landstreamer system based on digital sensors and particularly suitable for noisy environments and areas in which high-resolution images of the subsurface are desired. We have evaluated results, interpretations, and approaches using the streamer in the planning of an approximately 3-km-long underground tunnel in the city of Varberg in the southwestern Sweden. Prospective targets were imaging of the shallow (20 m) bedrock surface and weak zones, such as fracture and shear zones. Over the course of three weeks, 25 profiles were acquired with a total length of approximately 7.5 km using a source and receiver spacing of 2–4 m. A novel approach of the data acquisition was to integrate the landstreamer with wireless sensors in areas in which the accessibility was restricted by roads and also to increase the source-receiver distances (offsets). Although the area was highly noisy, the seismic data, in conjunction with available boreholes, successfully led to delineation of the bedrock surface, its undulations, and areas of poor rock quality. To overcome challenges due to geologic complexities and crooked-line data acquisition, 3D tomographic inversion of first breaks was carried out. Comparisons of the results with the existing boreholes indicated that in most places, the bedrock surface was well resolved by the method, which supported the indication of weak zones in the bedrock, represented by low-velocity structures in the tomographic results. We also evaluated the effect of poor geodetic surveying, particularly regarding elevation data, which adulterated the tomography results toward undulating bedrock surfaces or zones of low velocities.",10.1190/geo2015-0052.1
True And Apparent Spectra Of Buried Polarizable Targets,"If the chargeability of a buried target is not infinitesimal, the popularly used low chargeability approximation formulated by Seigel (1959) can produce large errors in the computation of apparent polarizability spectra. A more accurate alternative approximation, based on a complex, frequency dependent ""dilution factor"" is presented. It turns out that for dispersions of the minimum phase shift type this approximation can be somewhat simplified and that for targets with such a dispersion, buried in a nondispersive host rock, the apparent log‐phase spectrum is only slightly different from a vertically shifted version of the true phase spectrum of the target. These results should be useful for the computation of apparent polarizabilities in numerical modeling for IP, and in attempts for mineral discrimination through field measurements of phase spectra.",10.1190/1.1441648
Random Noise Attenuation Using Local Signal-And-Noise Orthogonalization,"We have developed a novel approach to attenuate random noise based on local signal-and-noise orthogonalization. In this approach, we first removed from a seismic section using one of the conventional denoising operators and then applied a weighting operator to the initially denoised section to predict the signal-leakage energy, as well as retrieve it from the initial noise section. The weighting operator was obtained by solving a least-squares minimization problem via shaping regularization with a smoothness constraint. Next, the initially denoised section and the retrieved signal were combined to form the final denoised section. The proposed denoising approach corresponded to orthogonalizing the initially denoised signal and noise in a local manner. We evaluated the denoising performance using local similarity. To test the orthogonalization property of the estimated signal and noise, we calculated the local similarity map between the denoised signal section and removed noise section. Low values of local similarity indicated a good orthogonalization and thus a good denoising performance. Synthetic and field data examples revealed the effectiveness of the proposed approach in applications to noise attenuation for conventional and simultaneous-source seismic data.",10.1190/geo2014-0227.1
Frequency‐Dependent Shear‐Wave Splitting In Thinly Layered Media With Intrinsic Anisotropy,"In multilayered media one normally observes two distinct shear‐wave phases that are polarized perpendicularly to each other and propagate at different velocities. One of them, the SH-wave, is a pure shear wave with particle motion parallel to layer interfaces and strictly perpendicular to the incidence plane and the propagation direction. The other one, the qSV-wave, is a so‐called quasi‐shear wave whose particle motion also contains a longitudinal portion. The velocities and attenuations of both phases depend on the frequency and the angle of incidence. However, this dependence is different for SH-waves and qSV-waves.",10.1190/1.1444567
Rational Interpolation Of Qp-Traveltimes For Semblance-Based Anisotropy Estimation In Layered Vti Media,"The   τ-p   domain is the natural domain for anisotropy parameter estimation in horizontally layered media. The need to transform the data to the   τ-p   domain or to pick traveltimes in the   t-x   domain is, however, a practical disadvantage. To overcome this, we combine   τ-p  -derived traveltimes and offsets in horizontally layered transversely isotropic media with a vertical symmetry axis (VTI) with a rational interpolation procedure applied in the   t-x   domain. This combination results in an accurate and efficient   t-x  -based semblance analysis for anisotropy parameter estimation from the moveout of qP-waves in horizontally layered VTI media. The semblance analysis is applied to the moveout to search directly for the interval values of the relevant parameters. To achieve this, the method is applied in a layer-stripping fashion. We demonstrate the method using synthetic data examples and show that it is robust in the presence of random noise and moderate statics.",10.1190/1.2938036
Weak-Anisotropy Moveout Approximations For P-Waves In Homogeneous Layers Of Monoclinic Or Higher Anisotropy Symmetries,"We have used so-called weak anisotropy (WA) parameterization as an alternative to the parameterization of generally anisotropic media by a stiffness tensor. WA parameters consist of linear combinations of normalized stiffness-tensor elements controlling various seismic signatures; hence, they are theoretically extractable from seismic data. They are dimensionless and can be designed to have the same order of magnitude. WA parameters, similarly to Thomsen-type parameters, have a clear physical interpretation. They are, however, applicable to anisotropy of any symmetry, strength, and orientation. They are defined in coordinate systems independent of the symmetry elements of the studied media. Expressions using WA parameters naturally simplify as the anisotropy becomes weaker or as the anisotropy symmetry increases. We expect that, due to these useful properties, WA parameterization can potentially provide a framework for seismic data processing in generally anisotropic media. Using the WA parameterization, we have derived and tested approximate P-wave moveout formulas for a homogeneous layer of up-to-monoclinic symmetry, underlain by a horizontal reflector coinciding with a symmetry plane. The derived traveltime formulas represent an expansion of the traveltime with respect to (small) WA parameters. For the comparison with standard moveout formulas, we expressed ours in the common form of nonhyperbolic moveout, containing normal moveout velocity and a quartic coefficient as functions of the WA parameters. The accuracy of our formulas depends strongly on the deviation of ray- and phase-velocity directions (controlled by the deviation of the ray and phase velocities). The errors do not generally increase with increasing offset, nor do they increase with decreasing anisotropy symmetry. The accuracy of our formulas is comparable with, or better than, the accuracy of commonly used formulas.",10.1190/geo2015-0223.1
3-D Ground‐Penetrating Radar Simulation And Plane‐Wave Theory In Anisotropic Media,"Modeling ground‐penetrating radar (GPR) waves requires simulation of the 3-D full wavefield and the correct description of the electromagnetic (EM) properties. Magnetic and dielectric relaxations are described by relaxation functions associated with each principal component of the respective tensorial property. Anisotropy is modeled up to orthorhombic symmetry, i.e., the principal coordinate systems of the three EM material tensors coincide, and each property is described by three different principal components. The algorithm uses the pseudospectral method for computing the spatial derivatives and a second‐order finite difference in time. A complete plane‐wave analysis, including energy balance, gives the expressions of measurable quantities such as the EM-wave velocity and the quality factor as a function of frequency and propagation direction. The algorithm reproduces the wavefront shape and attenuation predicted by the plane‐wave analysis. In addition, the results are in excellent agreement with an analytical 3-D transient solution. The modeling is applied to evaluation of the EM response of two pipes buried in an anisotropic sand overlying a clay layer. The results demonstrate that anisotropy and loss mechanisms cause significant amplitude and phase distortions.",10.1190/1.1444841
Low‐Frequency Electrical Properties,"In the interpretation of induced polarization data, it is commonly assumed that metallic mineral polarization dominantly or solely causes the observed response. However, at low frequencies, there is a variety of active chemical processes which involve the movement or transfer of electrical charge. Measurements of electrical properties at low frequencies (such as induced polarization) observe such movement of charge and thus monitor many geochemical processes at a distance. Examples in which this has been done include oxidation‐reduction of metallic minerals such as sulfides, cation exchange on clays, and a variety of clay‐organic reactions relevant to problems in toxic waste disposal and petroleum exploration. By using both the frequency dependence and nonlinear character of the complex resistivity spectrum, these reactions may be distinguished from each other and from barren or reactionless materials.",10.1190/1.1441880
Deep Electrical Prospecting—A Reply,"Mr. Yüngül's review of the ""Resistolog"" procedure has been read with interest. The primary reason for publishing Resistolog data was the hope that a mathematical explanation for the observed phenomena would result. Mr. Yüngül's paper is most welcome inasmuch as it represents an effort in the desired direction.",10.1190/1.1437383
Two‐Dimensional Model Seismology,"The solutions of many problems in seismology may be obtained by means of ultrasonic pulses propagating in small scale models. Thin sheets, serving as two dimensional models, are particularly advantageous because of their low cost, availability, ease of fabrication into various configurations, lower energy requirements, and appropriate dilatational‐to‐shear‐velocity ratios. Four examples are presented: flexural waves in a sheet, Rayleigh waves in a low velocity layer overlying a semi‐infinite high velocity layer, Rayleigh waves in a high velocity layer overlying a semi‐infinite low velocity layer, and body and surface waves in a disk.",10.1190/1.1437982
A Semianalytic Solution To The Response Of A Triaxial Induction Logging Tool In A Layered Biaxial Anisotropic Formation,"We have developed a forward-modeling method to compute the response of a triaxial induction logging tool in a layered biaxial anisotropic dipping formation without borehole and invasion zones. The purpose of this development is to provide a fast-forward computation algorithm to handle cracks in transverse isotropic (TI) formations in oil exploration, which is a mathematically challenging problem for log data inversion. We solve for the spectral-domain transverse electromagnetic (EM) field equations, propagation matrix, and reflection matrix in a biaxial anisotropic planarly layered media. The EM fields in the space domain are obtained by a 2D inverse Fourier transform. We derive formulations of the EM fields generated by three orthogonal transmitting coils in a fully anisotropic layered media. The proposed formulations are based on arbitrary relative dipping and azimuthal and tool angles; thus, we obtain the full coupling matrix connecting source excitations and magnetic fields anywhere along the tool axis. Computation results using this method in the response of triaxial induction tools in several cases were compared with published data in TI formations and biaxial layered formations. Our results agreed very well with the published data.",10.1190/geo2015-0105.1
"A Propagating Algorithm For Determining Nth-Order Polynomial, Least‐Squares Fits","An algorithm is described which iteratively solves for the coefficients of successively higher‐order, least‐squares polynomial fits in terms of the results for the previous, lower‐order polynomial fit. The technique takes advantage of the special properties of the least‐squares or Hankel matrix, for which Ai,j=Ai+1,j-1. Only the first and last column vectors of the inverse matrix are needed at each stage to continue the iteration to the next higher stage. An analogous procedure may be used to determine the inverse of such least‐squares type matrices. The inverse of each square submatrix is determined from the inverse of the previous, lower‐order submatrix. The results using this algorithm are compared with the method of fitting orthogonal polynomials to data points. While the latter method gives higher accuracy when high‐order polynomials are fitted to the data, it requires many more computations. The increased accuracy of the orthogonal‐polynomial fit is valuable when high precision of fitting is required; however, for experimental data with inherent inaccuracies, the added computations outweigh the possible benefit derived from the more accurate fitting. A Fortran listing of the algorithm is given.",10.1190/1.1440793
Resistive Limit Modeling Of Airborne Electromagnetic Data,"When a confined conductive target embedded in a conductive host is energized by an electromagnetic (EM) source, current flow in the target comes from both direct induction of vortex currents and current channeling. At the resistive limit, a modified magnetometric resistivity integral equation method can be used to rapidly model the current channeling component of the response of a thin-plate target energized by an airborne EM transmitter. For towed-bird transmitter–receiver geometries, the airborne EM anomalies of near-surface, weakly conductive features of large strike extent may be almost entirely attributable to current channeling. However, many targets in contact with a conductive host respond both inductively and galvanically to an airborne EM system. In such cases, the total resistive-limit response of the target is complicated and is not the superposition of the purely inductive and purely galvanic resistive-limit profiles. Numerical model experiments demonstrate that while current channeling increases the width of the resistive-limit airborne EM anomaly of a wide horizontal plate target, it does not necessarily increase the peak anomaly amplitude.",10.1190/1.1468609
Where Is The Zero‐Velocity Layer?,"The zero‐velocity layer was introduced in Higginbotham et al. (1985) to increase the maximum dip imaging capability of finite‐difference depth migration. Beasley and Lynn (1992) adapted the idea to improve the imaging, again using finite‐difference depth migration, of seismic data acquired in areas of irregular topography. Beasley and Lynn's application improves upon the conventional method of processing, which is to time shift the data from the acquisition surface to a horizontal datum, and then migrate using the near‐surface velocity above the surface and the best estimate of seismic velocity below the surface. The conventional procedure typically produces artifacts in the shallow part of the section that are characteristic of overmigration. To reduce these artifacts, velocities are often reduced for the migration step. The use of the zero‐velocity layer overcomes the need to adjust the migration velocities. Here, a component of the migration velocity is set to zero in the layer between the datum and the surface. The function of the zero‐velocity layer in migration is to remove the elevation‐static correction applied in shifting the data to the flat datum. Only after the data have migrated through the zero‐velocity layer to the irregular recording surface does the migration begin to act in its customary sense, moving energy from trace to trace.",10.1190/1.1444126
Transient Electromagnetic Sounding For Groundwater,"The feasibility of using the transient electromagnetic sounding (TS or TDEM) method for groundwater exploration can be studied by means of numerical models. As examples of its applicability to groundwater exploration, we study four groundwater exploration problems: (1) mapping of alluvial fill and gravel zones over bedrock; (2) mapping of sand and gravel lenses in till; (3) detection of salt or brackish water interfaces in freshwater aquifers; and (4) determination of hydrostratigraphy. These groundwater problems require determination of the depth to bedrock; location of resistive, high‐porosity zones associated with fresh water; determination of formation resistivity to assess water quality; and determination of lithology and geometry, respectively. The TS method is best suited for locating conductive targets, and has very good vertical resolution. Unlike other sounding techniques where the receiver‐transmitter array must be expanded to sound more deeply, the depth of investigation for the TS method is a function of the length of time the transient is recorded. Present equipment limitations require that exploration targets with resistivities of 50 Ω ⋅ m or more be at least 50 m deep to determine their resistivity. The maximum depth of exploration is controlled by the geoelectrical section and background electromagnetic (EM) noise. For a particular exploration problem, numerical studies are recommended to determine if the target is detectable.",10.1190/1.1442158
True Amplitude Corrections For A Narrow-Angle One-Way Elastic Wave Equation,"Wavefield extrapolators using one-way wave equations are computationally efficient methods for accurate traveltime modeling in laterally heterogeneous media, and have been used extensively in many seismic forward modeling and migration problems. However, most leading-order, one-way wave equations do not simulate waveform amplitudes accurately and this is primarily because energy flux is not accounted for correctly. I review the derivation of a leading-order, narrow-angle, one-way elastic wave equation for 3D media. I derive correction terms that enable energy-flux normalization and introduce a new higher-order, narrow-angle, one-way elastic wave extrapolator. By implementing these correction terms, the new true amplitude wave extrapolator allows accurate amplitude estimates in the presence of strong gradients. I present numerical examples for 1D velocity transition models to show that (1) the leading-order, narrow-angle propagator accurately models traveltimes, but overestimates transmitted- or primary-wave amplitudes and (2) the new amplitude corrected narrow-angle propagator accurately models both the traveltimes and amplitudes of all forward-traveling waves.",10.1190/1.2430694
The Signature Of An Air Gun Array: Computation From Near‐Field Measurements Including Interactions,"We designed a system to enable the signature of an air gun array to be calculated at any point in the water from a number of simultaneous independent measurements of the near‐field pressure field [subject of a patent application]. The number of these measurements must not be less than the number of guns in the array. The underlying assumption in our method is that the oscillating bubble produced by an air gun is small compared with the wavelengths of seismic interest. Each bubble thus behaves as a point source, both in the generation of seismic waves and in its response to incident seismic radiation produced by other nearby bubbles. It follows that the interaction effects between the bubbles may be described in terms of spherical waves. The array of interacting guns is equivalent to a notional array of noninteracting guns whose combined seismic radiation is identical. The seismic signatures of the equivalent independent elements of this notional array can be determined from the near‐field measurements. The seismic radiation pattern emitted by the whole array can be computed from these signatures by linear superposition, with a spherical correction applied. The method is tested by comparing far‐field signatures computed in this way with field measurements made in deep water. The computed and measured signatures match each other very closely. By comparison, signatures computed neglecting this interaction are a poor match to the measurements.",10.1190/1.1441289
Memory-Efficient Displacement-Based Internal Friction For Wave Propagation Simulation,"The characterization of anelastic losses due to material internal friction has become increasingly important in geophysical exploration and other seismological applications, as these losses greatly affect the amplitude and dispersion of seismic waves. Anelasticity is usually specified in terms of the material's quality factor, Q. Different viscoelastic models have been used to represent Q as a function of frequency. Most of these models are defined in terms of stresses and strains as the primary variables. Thus, in three dimensions, a separate model needs to be associated with each of the six strain components. We introduce an internal friction model that uses, instead, displacements as primary variables. For a fiber, the proposed model consists of a set of three distinct elements in parallel with different relaxation mechanisms: namely, two elements that consist of a spring and a dashpot in series (Maxwell) and a third element that consists of a spring and a dashpot in parallel (Voigt). In addition to saving memory, this formulation is particularly suitable for finite-element schemes. The model exhibits an almost constant quality factor within the frequency range of interest, with a tolerance of 5% with respect to the target Q value, and provides a close approximation to the variation of the phase-velocity with frequency—as has been observed in empirical data. The extension of this model to 3D anelastic problems and its use in idealized cases, such as an infinite-space, a half-space, and a layered half-space, and the comparison of results with semi-analytical reference solutions obtained from theory and previous, similar studies, corroborates the validity of the proposed model for incorporating anelastic losses in wave propagation problems.",10.1190/geo2011-0019.1
"A Temporal Trend In Compliance Measurements Near A Gas Hydrate Accumulation, Northern Cascadia","Ocean surface gravity waves produce temporally correlated pressure and vertical displacements on the ocean floor. Compliance is the ratio between the pressure and the resulting displacement. Pressures are measured by a differential pressure gauge, whereas a broadband seismometer measures velocities that are directly related to the displacements in the frequency domain. These instruments are installed on the Cascadia accretionary prism as part of NEPTUNE Canada's ocean-floor network. Gas hydrates have the property of stiffening marine sediment, i.e., reducing the compliance. A compliance measurement is dependent on the elastic parameters of the sediment, particularly, the shear modulus. We have computed compliance from raw data, daily, for 203 days and determined the temporal variation in shear modulus of a region approximately 390 m northeast of the undersea area known as Bullseye Vent. Our aim was to investigate the evolution of the elastic properties of the subsurface in this region. The compliance was determined over a bandwidth of 0.01–0.03 Hz, and had peak sensitivity to the sediment elastic structure at approximately 275 m below seafloor, for a water depth of 1250 m — determined by the gravity wave dispersion relation. Bullseye Vent is not a steady-state system! We observed a linear decrease in compliance of approximately 1% between October 2010 and May 2011, corresponding with an average change of 1% in the shear modulus over the depth of investigation. This corresponds to up to a 13% change solely in gas hydrate content in the first 100 m; a change that resulted from a simplified 1D four-layer model, which does not reflect the complexity and three-dimensionality of the hydrate system. A 13% change in hydrate content was likely an overestimate because the compliance function at 1250 m had limited sensitivity to the uppermost sediments.",10.1190/geo2014-0531.1
Separation And Imaging Of Seismic Diffractions Using Migrated Dip-Angle Gathers,Common-reflection angle migration can produce migrated gathers either in the scattering-angle domain or in the dip-angle domain. The latter reveals a clear distinction between reflection and diffraction events. We derived analytical expressions for events in the dip-angle domain and found that the shape difference can be used for reflection/diffraction separation. We defined reflection and diffraction models in the Radon space. The Radon transform allowed us to isolate diffractions from reflections and noise. The separation procedure can be performed after either time migration or depth migration. Synthetic and real data examples confirmed the validity of this technique.,10.1190/geo2012-0017.1
Recent Advances In Uranium Exploration With Electronic Alpha Cups,"We compare data from a new radon measuring device, based on electronic alpha cups with data from the nonelectronic, plastic alpha cups commonly used in exploring for uranium. A burial time of three days appears to be adequate for the electronic alpha cups to collect exploration data equivalent to those from plastic sensing devices. The advantages of the electronic cups are short time of burial and instant read‐out in the field; the major disadvantage is the capital expenditure required for the instruments. It is possible the cups may be useful for copper exploration also.",10.1190/1.1440776
Correction For The Influence Of Velocity Lenses On Nonhyperbolic Moveout Inversion For Vti Media,"Nonhyperbolic moveout analysis plays an increasingly important role in velocity model building because it provides valuable information for anisotropic parameter estimation. However, lateral heterogeneity associated with stratigraphic lenses such as channels and reefs can significantly distort the moveout parameters, even when the structure is relatively simple. We analyze the influence of a low-velocity isotropic lens on nonhyperbolic moveout inversion for horizontally layered VTI (transversely isotropic with a vertical symmetry axis) models. Synthetic tests demonstrate that a lens can cause substantial, laterally varying errors in the normal-moveout velocity    ( Vnmo )    and the anellipticity parameter   η  . The area influenced by the lens can be identified using the residual moveout after the nonhyperbolic moveout correction as well as the dependence of errors in    Vnmo    and   η   on spreadlength. To remove such errors in    Vnmo    and   η  , we propose a correction algorithm designed for a lens embedded in a horizontally layered overburden. This algorithm involves estimation of the incidence angle of the ray passing through the lens for each recorded trace. With the assumption that lens-related perturbation of the raypath is negligible, the lens-induced traveltime shifts are computed from the corresponding zero-offset time distortion (i.e., from ""pull-up"" or ""push-down"" anomalies). Synthetic tests demonstrate that this algorithm substantially reduces the errors in the effective and interval parameters    Vnmo    and   η  . The corrected traces and reconstructed ""background"" values of    Vnmo    and   η   are suitable for anisotropic time imaging and producing a high-quality stack.",10.1190/1.3569799
Limitations On Impedance Inversion Of Band‐Limited Reflection Data,"A seismic approximate impedance log is often the ultimate output in the sequence of seismic data‐processing steps. In principle, the true acoustic impedance is obtainable from the inversion of full‐band impulse response. Because the seismic data necessarily is band limited, its inversion obviously would produce an approximate impedance log. A question addressed is how the true and reconstructed logs are related and a mathematical relationship between the two is derived without the assumptions required in an existing derivation of the same result. The deductions also include the contribution of an individual seismic frequency in the reconstruction of the impedance and, in particular, a simple formula for the contribution of direct‐current (dc) frequency, which never is recorded but is required to supplement the inversion. Analytical expressions are derived for the reconstructed impedance corresponding to any given frequency band for two cases: a simple discontinuity and a bed sandwiched between two similar half‐spaces. While analyzing the results, some conclusions pertinent to seismic exploration are drawn. A criterion is formulated to decide what should be termed a thin bed within a homogeneous half‐space in the context of a white band of frequencies, in contrast to a single dominant frequency, which is the basis of the Widess criterion.",10.1190/1.1444791
Ultrasonic Shear‐Wave Velocities In Rocks Subjected To Simulated Overburden Pressure And Internal Pore Pressure,"Change in shear‐wave velocity for four dry sedimentary rocks has been studied as a function of the variation of both external hydrostatic pressure and internal pore pressure in the range 0 to 2,500 psi. The experimental method employs a beam of ultrasonic energy passing through a liquid in which a copper‐jacketed parallel‐sided slab of rock is rotated. The shear‐wave velocity is calculated from the laws of refraction and reflection of waves at a liquid‐solid boundary applied to the angle at which minimum energy is transmitted. The variation of shear‐wave velocity with pressure has been found to be a function of net overburden pressure, Pe-nPi, where Pe=external hydrostatic pressure on the jacketed sample, Pi=internal pore pressure and n = a pressure‐dependent factor less than unity. The values of n at several differential pressures were chosen to yield a smooth curve passing through the displaced data points when the shear‐wave velocities were plotted as a function of net overburden pressure. Using the n values so obtained, the matrix compressibility Cr for two of the sandstones has been calculated from the relation n=[CB-Cr]/CB. The bulk compressibility CB for these two rocks had previously been obtained experimentally as a function of differential pressure. The values obtained for the matrix compressibility are in the range expected from a knowledge of the grain and cementing materials for these sandstones.",10.1190/1.1439526
Monte Carlo Data-Driven Tight Frame For Seismic Data Recovery,"Seismic data denoising and interpolation are essential preprocessing steps in any seismic data processing chain. Sparse transforms with a fixed basis are often used in these two steps. Recently, we have developed an adaptive learning method, the data-driven tight frame (DDTF) method, for seismic data denoising and interpolation. With its adaptability to seismic data, the DDTF method achieves high-quality recovery. For 2D seismic data, the DDTF method is much more efficient than traditional dictionary learning methods. But for 3D or 5D seismic data, the DDTF method results in a high computational expense. The motivation behind this work is to accelerate the filter bank training process in DDTF, while doing less damage to the recovery quality. The most frequently used method involves only a randomly selective subset of the training set. However, this random selection method uses no prior information of the data. We have designed a new patch selection method for DDTF seismic data recovery. We suppose that patches with higher variance contain more information related to complex structures, and should be selected into the training set with higher probability. First, we calculate the variance of all available patches. Then for each patch, a uniformly distributed random number is generated and the patch is preserved if its variance is greater than the random number. Finally, all selected patches are used for filter bank training. We call this procedure the Monte Carlo DDTF method. We have tested the trained filter bank on seismic data denoising and interpolation. Numerical results using this Monte Carlo DDTF method surpass random or regular patch selection DDTF when the sizes of the training sets are the same. We have also used state-of-the-art methods based on the curvelet transform, block matching 4D, and multichannel singular spectrum analysis as comparisons when dealing with field data.",10.1190/geo2015-0343.1
Fast Location Of Seismicity: A Migration-Type Approach With Application To Hydraulic-Fracturing Data,"We propose a new approach for the location of seismic sources using a technique inspired by Gaussian-beam migration of three-component data. This approach requires only the preliminary picking of time intervals around a detected event and is much less sensitive to the picking precision than standard location procedures. Furthermore, this approach is characterized by a high degree of automation. The polarization information of three-component data is estimated and used to perform initial-value ray tracing. By weighting the energy of the signal using Gaussian beams around these rays, the stacking is restricted to physically relevant regions only. Event locations correspond to regions of maximum energy in the resulting image. We have successfully applied the method to synthetic data examples with 20%–30% white noise and to real data of a hydraulic-fracturing experiment, where events with comparatively small magnitudes   (0)   were recorded.",10.1190/1.2401139
Aeromagnetic Anomalies And Perspective Oil Traps In China,"Based on analyses of aeromagnetic data from known oil and gas fields in China, aeromagnetic anomalies have been classified according to their genesis into three types: (1) structure‐associated anomalies related to volcanic rock, (2) anomalies related to magnetic basement fault blocks, and (3) structure‐associated anomalies related to weakly magnetic sedimentary strata. The most successful applications of aeromagnetic data for locating favorable oil and gas structures are in the following kinds of areas: (1) areas where basement fault blocks of inhomogeneous lithology and magnetization are developed; (2) areas of weakly magnetic layered strata with a considerable thickness, either effusive or clastic deposits; and (3) areas where magnetic layers have undergone tectonic deformation with faulting and dip angles larger than 30 degrees. For reliable detection of such structures in sedimentary rocks and associated oil and gas traps, an integrated interpretation of geological and geophysical data is necessary.",10.1190/1.1443539
Reverse Time Migration In Tilted Transversely Isotropic (Tti) Media,"Reverse time migration (RTM) exhibits great advantages over other imaging methods because it is based on computing numerical solutions to a two-way wave equation. It does not suffer from dip limitation like one-way downward continuation techniques do, thus enabling overturned reflections to be imaged. As well as correctly handling multipathing, RTM has the potential to image internal multiples when the boundaries responsible for generating the multiples are present in the model. In isotropic media, one can use a scalar acoustic wave equation for RTM of pressure data. In anisotropic media, P- and SV-waves are coupled together so, formally, elastic wave equations must be used for RTM. A new wave equation for P-waves is proposed in tilted transversely isotropic (TTI) media that can be solved as part of an acoustic anisotropic RTM algorithm, using standard explicit finite differencing. If the shear velocity along the axis of symmetry is set to zero, stable numerical solutions can be computed for media with a vertical axis of symmetry and  ε  not less than  δ . In TTI media with rapid variations in the direction of the axis of symmetry, setting the shear velocity along the axis of symmetry to zero can cause numerical solutions to become unstable. A solution to this problem is proposed that involves using a small amount of nonzero shear velocity. The amount of shear velocity added is chosen to remove triplications from the SV wavefront and to minimize the anisotropic term of the SV reflection coefficient. We show modeling and high-quality RTM results in complex TTI media using this equation.",10.1190/1.3269902
Computing Gaussian Derivative Waveforms Of Any Order,"The first and second derivatives of a Gaussian, also known as Ricker wavelets, are often used as source waveforms in forward modeling of seismic and electromagnetic wavefields. In applications such as borehole acoustics, the source waveform has more cycles than traditional Ricker wavelets. For such sources, the higher-order derivatives of a Gaussian are a more accurate representation. Such a source waveform can be computed as the product of a Hermite polynomial and the Gaussian; taking the required derivative is not necessary. Explicit expressions for these polynomials are not required because they satisfy a recurrence relation and thus can be computed from the two lowest-order polynomials. The Gaussian is formulated in terms of the dominant frequency of the derivative order of the desired source waveform. Strictly causal waveforms are not possible with a Gaussian because of its infinite length. However, the computed waveform can be made (pseudo-) causal by shifting it along the positive time axis until its amplitude at time zero is less than a user-defined threshold. Numerical tests reveal that amplitudes at zero time are on the order of  10−6  if this shift is equal to the dominant frequency times the square root of the derivative order.",10.1190/1.2716624
